timestamp,raw_hex,command,battery,charging,ax,ay,az,roll,pitch,yaw,pressure,punch_count,reserved_1,reserved_2,crc8,crc8_calc,crc8_ok
2026-04-27 11:00:00.102,D5 5D 03 64 00 0E 00 00 00 F9 00 B3 00 B0 00 C6 00 00 01 14 00 01 99,3,100,0,14,0,249,179,176,198,256,20,0,1,153,9,False
2026-04-27 11:00:00.342,D5 5D 03 64 00 08 00 00 00 F1 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,8,0,241,179,175,197,256,20,0,1,153,144,False
2026-04-27 11:00:00.463,D5 5D 03 64 00 07 00 00 00 F1 00 B3 00 B0 00 C4 00 00 01 14 00 01 99,3,100,0,7,0,241,179,176,196,256,20,0,1,153,154,False
2026-04-27 11:00:00.582,D5 5D 03 64 00 0F 00 00 00 F7 00 B3 00 AF 00 C7 00 00 01 14 00 01 99,3,100,0,15,0,247,179,175,199,256,20,0,1,153,132,False
2026-04-27 11:00:00.703,D5 5D 03 64 00 0A 00 00 00 F0 00 B3 00 B0 00 C8 00 00 01 14 00 01 99,3,100,0,10,0,240,179,176,200,256,20,0,1,153,6,False
2026-04-27 11:00:00.822,D5 5D 03 64 00 0C 00 00 00 F2 00 B2 00 B0 00 CA 00 00 01 14 00 01 99,3,100,0,12,0,242,178,176,202,256,20,0,1,153,38,False
2026-04-27 11:00:01.181,D5 5D 03 64 00 09 00 00 00 F4 00 B2 00 AF 00 C9 00 00 01 14 00 01 99,3,100,0,9,0,244,178,175,201,256,20,0,1,153,160,False
2026-04-27 11:00:01.301,D5 5D 03 64 00 0D 00 00 00 F5 00 B3 00 B2 00 CA 00 00 01 14 00 01 99,3,100,0,13,0,245,179,178,202,256,20,0,1,153,61,False
2026-04-27 11:00:01.421,D5 5D 03 64 00 12 00 00 00 FA 00 B3 00 B0 00 CA 00 00 01 14 00 01 99,3,100,0,18,0,250,179,176,202,256,20,0,1,153,41,False
2026-04-27 11:00:01.552,D5 5D 03 64 00 16 00 00 00 F8 00 B3 00 B0 00 CB 00 00 01 14 00 01 99,3,100,0,22,0,248,179,176,203,256,20,0,1,153,33,False
2026-04-27 11:00:01.661,D5 5D 03 64 00 0B 00 00 00 F8 00 B3 00 AF 00 C8 00 00 01 14 00 01 99,3,100,0,11,0,248,179,175,200,256,20,0,1,153,138,False
2026-04-27 11:00:01.901,D5 5D 03 64 00 12 00 00 00 F9 00 AF 00 B1 00 C9 00 00 01 14 00 01 99,3,100,0,18,0,249,175,177,201,256,20,0,1,153,241,False
2026-04-27 11:00:02.021,D5 5D 03 64 00 0D 00 00 00 F1 00 B2 00 B0 00 C8 00 00 01 14 00 01 99,3,100,0,13,0,241,178,176,200,256,20,0,1,153,211,False
2026-04-27 11:00:02.141,D5 5D 03 64 00 0B 00 00 00 EE 00 B3 00 B0 00 C6 00 00 01 14 00 01 99,3,100,0,11,0,238,179,176,198,256,20,0,1,153,180,False
2026-04-27 11:00:02.261,D5 5D 03 64 00 10 00 00 00 F2 00 B3 00 B0 00 C6 00 00 01 14 00 01 99,3,100,0,16,0,242,179,176,198,256,20,0,1,153,148,False
2026-04-27 11:00:02.381,D5 5D 03 64 00 01 00 00 00 F7 00 B4 00 B3 00 C5 00 00 01 14 00 01 99,3,100,0,1,0,247,180,179,197,256,20,0,1,153,216,False
2026-04-27 11:00:02.621,D5 5D 03 64 00 07 00 00 00 F7 00 B4 00 AF 00 C8 00 00 01 14 00 01 99,3,100,0,7,0,247,180,175,200,256,20,0,1,153,53,False
2026-04-27 11:00:02.742,D5 5D 03 64 00 07 00 00 00 F7 00 B4 00 B0 00 C8 00 00 01 14 00 01 99,3,100,0,7,0,247,180,176,200,256,20,0,1,153,138,False
2026-04-27 11:00:02.982,D5 5D 03 64 00 14 00 00 00 F9 00 B2 00 B0 00 C8 00 00 01 14 00 01 99,3,100,0,20,0,249,178,176,200,256,20,0,1,153,37,False
2026-04-27 11:00:03.103,D5 5D 03 64 00 0A 00 00 00 F6 00 B2 00 AF 00 CA 00 00 01 14 00 01 99,3,100,0,10,0,246,178,175,202,256,20,0,1,153,84,False
2026-04-27 11:00:03.222,D5 5D 03 64 00 0E 00 00 00 FC 00 B2 00 B0 00 CB 00 00 01 14 00 01 99,3,100,0,14,0,252,178,176,203,256,20,0,1,153,178,False
2026-04-27 11:00:03.582,D5 5D 03 64 00 0F 00 00 00 F4 00 B3 00 B0 00 CB 00 00 01 14 00 01 99,3,100,0,15,0,244,179,176,203,256,20,0,1,153,103,False
2026-04-27 11:00:03.703,D5 5D 03 64 00 0F 00 00 00 F7 00 B3 00 B0 00 CC 00 00 01 14 00 01 99,3,100,0,15,0,247,179,176,204,256,20,0,1,153,238,False
2026-04-27 11:00:03.823,D5 5D 03 64 00 06 00 00 00 F2 00 B3 00 B0 00 CE 00 00 01 14 00 01 99,3,100,0,6,0,242,179,176,206,256,20,0,1,153,176,False
2026-04-27 11:00:03.942,D5 5D 03 64 00 08 00 00 00 FC 00 B3 00 B0 00 D1 00 00 01 14 00 01 99,3,100,0,8,0,252,179,176,209,256,20,0,1,153,154,False
2026-04-27 11:00:04.062,D5 5D 03 64 00 0F 00 00 00 F6 00 B3 00 AF 00 D1 00 00 01 14 00 01 99,3,100,0,15,0,246,179,175,209,256,20,0,1,153,51,False
2026-04-27 11:00:04.303,D5 5D 03 64 00 0A 00 00 00 F5 00 B1 00 B0 00 D1 00 00 01 14 00 01 99,3,100,0,10,0,245,177,176,209,256,20,0,1,153,222,False
2026-04-27 11:00:04.423,D5 5D 03 64 00 0C 00 00 00 F5 00 B3 00 AF 00 D5 00 00 01 14 00 01 99,3,100,0,12,0,245,179,175,213,256,20,0,1,153,22,False
2026-04-27 11:00:04.542,D5 5D 03 64 00 0B 00 00 00 F3 00 B3 00 B0 00 D5 00 00 01 14 00 01 99,3,100,0,11,0,243,179,176,213,256,20,0,1,153,94,False
2026-04-27 11:00:04.663,D5 5D 03 64 00 10 00 00 00 F7 00 B3 00 B0 00 D2 00 00 01 14 00 01 99,3,100,0,16,0,247,179,176,210,256,20,0,1,153,112,False
2026-04-27 11:00:04.783,D5 5D 03 64 00 05 00 00 00 F7 00 B3 00 AF 00 D4 00 00 01 14 00 01 99,3,100,0,5,0,247,179,175,212,256,20,0,1,153,134,False
